Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Cheese, feta",14.21,21.28,4.09,264,0,0,0,0,0,4.09,0,0,493,0.65,19,337,62,917,2.88,0.032,0.028,15,422,125,125,3,0,0.18,0.4,0,0.4,0,0,0,0,0.154,0.844,0.991,0.967,0.424,32,1.69,15.4,89,14.946,4.09
"Cheese, fontina",25.6,31.14,1.55,389,0,0,0,0,0,1.55,0,0,550,0.23,14,346,64,800,3.5,0.025,0.014,14.5,913,258,261,32,0,0.27,0.6,0,0.6,0,0,0,0,0.021,0.204,0.15,0.429,0.083,6,1.68,15.4,116,19.196,1.55
"Cheese, gjetost",9.65,29.51,42.65,466,0,0,0,0,0,0,0,0,400,0.52,70,444,1409,600,1.14,0.08,0.04,14.5,1113,334,334,0,0,0,0,0,0,0,0,0,0,0.315,1.382,0.813,3.351,0.271,5,2.42,0,94,19.16,42.65
"Cheese, gouda",24.94,27.44,2.22,356,0,0,0,0,0,2.22,0,0,700,0.24,29,546,121,819,3.9,0.036,0.011,14.5,563,164,165,10,0,0.24,0.5,0,0.5,0,0,0,0,0.03,0.334,0.063,0.34,0.08,21,1.54,15.4,114,17.614,2.22
"Cheese, gruyere",29.81,32.34,0.36,413,0,0,0,0,0,0.36,0,0,1011,0.17,36,605,81,714,3.9,0.032,0.017,14.5,948,268,271,33,0,0.28,0.6,0,0.6,0,0,0,0,0.06,0.279,0.106,0.562,0.081,10,1.6,15.4,110,18.913,0.36
"Cheese, limburger",20.05,27.25,0.49,327,0,0,0,0,0,0.49,0,0,497,0.13,21,393,128,800,2.1,0.021,0.038,14.5,1155,339,340,15,0,0.23,0.5,0,0.5,0,0,0,0,0.08,0.503,0.158,1.177,0.086,58,1.04,15.4,90,16.746,0.49
"Cheese, monterey",24.48,30.28,0.68,373,0,0,0,0,0,0.5,0,0,746,0.72,27,444,81,600,3,0.032,0.011,14.5,769,192,198,78,0,0.26,0.6,0,0.6,0,0,0,0,0.015,0.39,0.093,0.21,0.079,18,0.83,15.4,89,19.066,0.68
"Cheese, mozzarella, whole milk",22.17,22.35,2.19,300,0.03,0.56,0.15,0.07,0.08,1.03,0.15,0,505,0.44,20,354,76,627,2.92,0.011,0.03,17,676,174,179,57,0,0.19,0.4,0,0.4,0,0,0,0,0.03,0.283,0.104,0.141,0.037,7,2.28,15.4,79,13.152,2.19
"Cheese, mozzarella, whole milk, low moisture",21.6,24.64,2.47,318,0,0,0,0,0,1.01,0,0,575,0.2,21,412,75,710,2.46,0.022,0.009,16.1,745,192,197,63,0,0.21,0.5,0,0.5,0,0,0,0,0.016,0.27,0.094,0.071,0.062,8,0.73,15,89,15.561,2.47
"Cheese, mozzarella, part skim milk",24.26,15.92,2.77,254,0,0,0,0,0,1.13,0,0,782,0.22,23,463,84,619,2.76,0.025,0.01,14.4,481,124,127,41,0,0.14,0.3,0,0.3,0,0,0,0,0.018,0.303,0.105,0.079,0.07,9,0.82,15.4,64,10.114,2.77
"Cheese, mozzarella, low moisture, part-skim",23.75,19.78,5.58,295,0,0,0,1.12,0,1.9,0.78,0,697,0.22,27,548,188,666,3.62,0.033,0.039,27.6,829,223,223,51,0,0.5,0.4,0,0.4,0,0,0,0,0.024,0.353,0.111,0.429,0.1,27,1.68,14.2,64,11.295,5.58
"Cheese, muenster",23.41,30.04,1.12,368,0,0,0,0,0,1.12,0,0,717,0.41,27,468,134,628,2.81,0.031,0.008,14.5,1012,297,298,13,0,0.26,0.6,0,0.6,0,0,0,0,0.013,0.32,0.103,0.19,0.056,12,1.47,15.4,96,19.113,1.12
"Cheese, neufchatel",9.15,22.78,3.59,253,0,0,0,3.19,0,3.19,0,0,117,0.13,10,138,152,334,0.82,0.027,0.011,3,841,239,241,27,0,0.4,0,0,0,0,0,0,0,0.022,0.155,0.21,0.575,0.041,14,0.3,0,74,12.79,3.59
"Cheese, parmesan, grated",28.42,27.84,13.91,420,0,0,0,0,0,0.07,0.07,0,853,0.49,34,627,180,1804,4.2,0.04,0.071,34.4,974,255,262,73,0,0.53,0.5,0,0.5,0,0,0,0,0.026,0.358,0.08,0.45,0.081,6,1.4,14.1,86,15.371,13.91
"Cheese, parmesan, hard",35.75,25.83,3.22,392,0,0,0,0,0,0.8,0,0,1184,0.82,44,694,92,1376,2.75,0.032,0.02,22.5,781,201,207,66,0,0.22,0.5,0,0.5,0,0,0,0,0.039,0.332,0.271,0.453,0.091,7,1.2,15.4,68,16.41,3.22
"Cheese, port de salut",23.78,28.2,0.57,352,0,0,0,0,0,0.57,0,0,650,0.43,24,360,136,534,2.6,0.022,0.011,14.5,1092,313,315,29,0,0.24,0.5,0,0.5,0,0,0,0,0.014,0.24,0.06,0.21,0.053,18,1.5,15.4,123,16.691,0.57
"Cheese, provolone",25.58,26.62,2.14,351,0,0,0,0,0,0.56,0,0,756,0.52,28,496,138,876,3.23,0.026,0.01,14.5,880,230,236,68,0,0.23,0.5,0,0.5,0,0,0,0,0.019,0.321,0.156,0.476,0.073,10,1.46,15.4,69,17.078,2.14
"Cheese, ricotta, whole milk",11.26,12.98,3.04,174,0,0,0,0,0,0.27,0,0,207,0.38,11,158,105,84,1.16,0.021,0.006,14.5,445,117,120,33,0,0.11,0.2,0,0.2,0,0,0,0,0.013,0.195,0.104,0.213,0.043,12,0.34,17.5,51,8.295,3.04
"Cheese, ricotta, part skim milk",11.39,7.91,5.14,138,0,0,0,0,0,0.31,0,0,272,0.44,15,183,125,99,1.34,0.034,0.01,16.7,384,105,107,20,0,0.07,0.1,0,0.1,0,0,0,0,0.021,0.185,0.078,0.242,0.02,13,0.29,16.3,31,4.927,5.14
"Cheese, romano",31.8,26.94,3.63,387,0,0,0,0,0,0.73,0,0,1064,0.77,41,760,86,1433,2.58,0.03,0.02,14.5,415,90,96,69,0,0.23,0.5,0,0.5,0,0,0,0,0.037,0.37,0.077,0.424,0.085,7,1.12,15.4,104,17.115,3.63
"Cheese, roquefort",21.54,30.64,2,369,0,0,0,0,0,0,0,0,662,0.56,30,392,91,1809,2.08,0.034,0.03,14.5,1047,290,294,0,0,0,0,0,0,0,0,0,0,0.04,0.586,0.734,1.731,0.124,49,0.64,0,90,19.263,2
"Cheese, swiss",26.96,30.99,1.44,393,0,0,0,0,0,0,0,0,890,0.13,33,574,72,187,4.37,0.047,0.026,30,1047,283,288,61,1,0.6,0,0,0,2,1,8,0,0.011,0.302,0.064,0.353,0.071,10,3.06,15.5,93,18.227,1.44
"Cheese, tilsit",24.41,25.98,1.88,340,0,0,0,0,0,0,0,0,700,0.23,13,500,65,753,3.5,0.026,0.013,14.5,1045,236,249,0,0,0,0,0,0,0,0,0,0,0.061,0.359,0.205,0.346,0.065,20,2.1,0,102,16.775,1.88
"Cheese, pasteurized process, American, fortified with vitamin D",18.13,30.71,4.78,366,0,0,0,2.15,0,2.26,0.11,0,1045,0.63,26,641,132,1671,2.49,0.046,0.041,20.2,1131,313,317,49,0,0.8,7.5,0,7.5,7,0,21,0,0.015,0.234,0.076,0.403,0.054,8,1.5,19.2,100,18.057,4.78
"Cheese, pasteurized process, pimento",22.13,31.2,1.73,375,0,0,0,0,0,0.62,0,0.1,614,0.42,22,744,162,915,2.98,0.033,0.016,14.5,1030,231,244,150,12,0.29,0.5,0,0.5,0,0,18,2.3,0.027,0.354,0.078,0.485,0.071,8,0.7,34.7,94,19.663,1.63
"Cheese, pasteurized process, swiss",24.73,25.01,2.1,334,0,0,0,0,0,1.23,0,0,772,0.61,29,762,216,1370,3.61,0.027,0.014,15.9,746,192,198,63,0,0.34,0.5,0,0.5,0,0,0,0,0.014,0.276,0.038,0.26,0.036,6,1.23,36.2,85,16.045,2.1
"Cheese food, cold pack, American",19.66,24.46,8.32,331,0,0,0,0,0,0,0,0,497,0.84,30,400,363,966,3.01,0.03,0.01,16.2,705,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.446,0.074,0.977,0.141,5,1.28,0,64,15.355,8.32
"Cheese food, pasteurized process, American, vitamin D fortified",16.86,25.63,8.56,330,0,0,0,5.41,0,5.59,0.18,0,682,0.26,27,438,255,1284,2.31,0.034,0.025,19.6,761,196,201,65,0,0.63,2.5,0,2.5,0,0,0,0,0.035,0.36,0.155,0.855,0.102,7,1.33,36.2,98,15.057,8.56
"Cheese food, pasteurized process, swiss",21.92,24.14,4.5,323,0,0,0,0,0,0,0,0,723,0.6,28,526,284,1552,3.55,0.03,0.01,16.1,856,233,237,0,0,0,0,0,0,0,0,0,0,0.014,0.4,0.104,0.5,0.035,6,2.3,0,82,15.487,4.5
"Cheese spread, pasteurized process, American",16.41,21.23,8.73,290,0,0,0,0,0,7.32,0,0,562,0.33,29,875,242,1625,2.59,0.033,0.02,11.3,653,168,173,55,0,0.19,0.4,0,0.4,0,0,0,0,0.048,0.431,0.131,0.686,0.117,7,0.4,36.2,55,13.327,8.73
"Cream, fluid, half and half",3.13,10.39,4.73,123,0,0,0,4.13,0,4.13,0,0,107,0.05,10,95,132,61,0.39,0.009,0.005,3.2,354,95,97,22,0,0.25,0,0,0,0,0,0,0.9,0.03,0.194,0.109,0.539,0.05,3,0.19,18.7,35,7.032,4.73
