Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Peas, mature seeds, sprouted, raw",8.8,0.68,27.11,124,0,0,0,0,0,0,0,0,36,2.26,56,165,381,20,1.05,0.272,0.438,0.6,166,0,0,0,0,0,0,0,0,0,0,0,10.4,0.225,0.155,3.088,1.029,0.265,144,0,0,0,0.124,27.11
"Peas, mature seeds, sprouted, cooked, boiled, drained, without salt",7.05,0.51,17.08,98,0,0,0,0,0,0,0,0,26,1.67,41,24,268,3,0.78,0.02,0.325,0.6,107,0,5,0,0,0,0,0,0,0,0,0,6.6,0.216,0.285,1.072,0.683,0.128,36,0,0,0,0.09,17.08
"Peas and carrots, canned, regular pack, solids and liquids",2.17,0.27,8.48,38,0,0,0,0,0,0,0,2,23,0.75,14,46,100,260,0.58,0.103,0.357,0.9,5770,0,289,0,0,0,0,0,0,0,0,0,6.6,0.074,0.053,0.581,0.12,0.088,18,0,0,0,0.049,6.48
"Peas and carrots, frozen, unprepared",3.4,0.47,11.15,53,0,0,0,0,0,0,0,3.4,27,1.09,18,60,194,79,0.52,0.089,0.235,1.2,9497,0,475,0,0,0,0,0,0,0,0,0,11.2,0.19,0.081,1.412,0.199,0.101,36,0,0,0,0.084,7.75
"Peas and carrots, frozen, cooked, boiled, drained, without salt",3.09,0.42,10.12,48,0,0,0,0,0,4.36,0,3.1,23,0.94,16,49,158,68,0.45,0.076,0.202,1.1,9514,0,476,4725,1868,0.52,0,0,0,99,0,1538,8.1,0.225,0.064,1.154,0.163,0.087,26,0,18.1,0,0.077,7.02
"Peas and onions, canned, solids and liquids",3.28,0.38,8.57,51,0,0,0,0,0,0,0,2.3,17,0.87,16,51,96,442,0.58,0.1,0.255,0.4,161,0,8,0,0,0,0,0,0,0,0,0,3,0.1,0.07,1.28,0.159,0.192,27,0,0,0,0.068,6.27
"Peas and onions, frozen, unprepared",3.98,0.32,13.51,70,0,0,0,0,0,0,0,3.5,23,1.54,21,59,203,61,0.48,0.103,0.274,0.6,544,0,27,0,0,0,0,0,0,0,0,0,14,0.297,0.114,1.72,0.156,0.144,45,0,0,0,0.057,10.01
"Peas and onions, frozen, cooked, boiled, drained, without salt",2.54,0.2,8.63,45,0,0,0,0,0,3.77,0,2.2,14,0.94,13,34,117,37,0.29,0.063,0.166,0.4,1051,0,53,626,10,0.02,0,0,0,0,0,1202,6.9,0.15,0.069,1.044,0.09,0.087,20,0,15.9,0,0.036,6.43
"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",0.9,0.1,5.1,21,0,0,0,0,0,3.12,0,1.3,7,0.5,14,17,187,1173,0.17,0.101,0.138,0.3,721,0,36,410,14,0.69,0,0,0,30,0,444,68,0.02,0.05,0.8,0.034,0.153,10,0,6.8,0,0.01,3.8
"Peppers, sweet, green, raw",0.86,0.17,4.64,20,0.11,1.16,1.12,0,0,2.4,0,1.7,10,0.34,10,20,175,3,0.13,0.066,0.122,0,370,0,18,208,21,0.37,0,0,0,7,0,341,80.4,0.057,0.028,0.48,0.099,0.224,10,0,5.5,0,0.058,2.94
"Peppers, sweet, green, cooked, boiled, drained, without salt",0.92,0.2,6.7,28,0.15,1.55,1.5,0,0,3.19,0,1.2,9,0.46,10,18,166,2,0.12,0.065,0.115,0.3,468,0,23,264,26,0.5,0,0,0,8,0,431,74.4,0.059,0.03,0.477,0.079,0.233,16,0,7.4,0,0.029,5.5
"Peppers, sweet, green, canned, solids and liquids",0.8,0.3,3.9,18,0,0,0,0,0,0,0,1.2,41,0.8,11,20,146,1369,0.18,0.13,0.16,0.3,155,0,8,0,0,0,0,0,0,0,0,0,46.5,0.025,0.03,0.55,0.038,0.178,16,0,0,0,0.045,2.7
"Peppers, sweet, green, frozen, chopped, unprepared",1.08,0.21,4.45,20,0,0,0,0,0,0,0,1.6,9,0.62,8,17,91,5,0.06,0.053,0.117,0.2,367,0,18,0,0,0,0,0,0,0,0,0,58.7,0.069,0.038,1.37,0.03,0.137,14,0,0,0,0.031,2.85
"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",0.95,0.18,3.9,18,0,0,0,0,0,0,0,0.9,8,0.52,7,13,72,4,0.05,0.044,0.097,0.2,290,0,15,0,0,0,0,0,0,0,0,0,41.2,0.051,0.031,1.082,0.023,0.108,10,0,0,0,0.027,3
"Peppers, sweet, green, sauteed",0.78,11.85,4.22,127,0,1.09,1.08,0,0,2.17,0,1.8,8,0.3,8,15,134,17,0.06,0.017,0.062,0.6,273,0,14,135,42,1.4,0,0,0,17,0,0,177,0.042,0.048,0.582,0.111,0.196,2,0,4.8,0,1.59,2.42
"Pigeonpeas, immature seeds, raw",7.2,1.64,23.88,136,0,0,0,0,0,3,0,5.1,42,1.6,68,127,552,5,1.04,0.134,0.574,1.5,67,0,3,40,0,0.39,0,0,0,0,0,190,39,0.4,0.17,2.2,0.68,0.068,173,0,45.8,0,0.354,18.78
"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",5.96,1.36,19.49,111,0,0,0,0,0,2.48,0,4.2,41,1.57,40,118,456,5,0.82,0.105,0.451,1.2,50,0,2,30,0,0.32,0,0,0,0,0,141,28.1,0.35,0.166,2.153,0.63,0.053,100,0,37.9,0,0.365,15.29
Poi,0.38,0.14,27.23,112,0,0,0,0,0,0.39,0,0.4,16,0.88,24,39,183,12,0.22,0.166,0.37,0.7,66,0,3,31,0,2.3,0,0,0,17,0,0,4,0.13,0.04,1.1,0.293,0.273,21,0,16.7,0,0.029,26.83
"Pokeberry shoots, (poke), raw",2.6,0.4,3.7,23,0,0,0,0,0,0,0,1.7,53,1.7,18,44,242,23,0.24,0.157,0.418,0.9,8700,0,435,0,0,0,0,0,0,0,0,0,136,0.08,0.33,1.2,0.049,0.146,16,0,0,0,0,2
"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",2.3,0.4,3.1,20,0,0,0,0,0,1.6,0,1.5,53,1.2,14,33,184,18,0.19,0.126,0.336,0.9,8700,0,435,5220,0,0.85,0,0,0,0,0,1747,82,0.07,0.25,1.1,0.039,0.111,9,0,0.3,0,0.092,1.6
"Potatoes, flesh and skin, raw",2.05,0.09,17.49,77,0.17,0.31,0.26,0,0,0.82,0,2.1,12,0.81,23,57,425,6,0.3,0.11,0.153,0.4,2,0,0,1,0,0.01,0,0,0,0,0,9,19.7,0.081,0.032,1.061,0.295,0.298,15,0,12.1,0,0.025,15.39
"Potatoes, russet, flesh and skin, raw",2.14,0.08,18.07,79,0.13,0.25,0.23,0,0,0.62,0,1.3,13,0.86,23,55,417,5,0.29,0.103,0.157,0.4,1,0,0,0,0,0.01,0,0,0,0,0,5,5.7,0.082,0.033,1.035,0.301,0.345,14,0,12.6,0,0.026,16.77
"Potatoes, white, flesh and skin, raw",1.68,0.1,15.71,69,0.28,0.53,0.34,0,0,1.15,0,2.4,9,0.52,21,62,407,16,0.29,0.116,0.145,0.3,8,0,0,5,0,0.01,0,0,0,0,0,13,9.1,0.071,0.034,1.066,0.281,0.203,18,0,11,0,0.026,13.31
"Potatoes, red, flesh and skin, raw",1.89,0.14,15.9,70,0.29,0.4,0.31,0,0,1.29,0,1.7,10,0.73,22,61,455,18,0.33,0.134,0.141,0.5,7,0,0,4,0,0.01,0,0,0,0,0,21,8.6,0.081,0.031,1.149,0.279,0.17,18,0,16.4,0,0.035,14.2
"Potatoes, Russet, flesh and skin, baked",2.63,0.13,21.44,97,0.39,0.37,0.32,0,0,1.08,0,2.3,18,1.07,30,71,550,14,0.35,0.107,0.228,0.5,10,0,1,6,0,0.07,0,0,0,0,0,19,8.3,0.067,0.048,1.348,0.38,0.354,26,0,15,0,0.032,19.14
"Potatoes, white, flesh and skin, baked",2.1,0.15,21.08,94,0.4,0.63,0.36,0,0,1.53,0,2.1,10,0.64,27,75,544,7,0.35,0.127,0.189,0.5,10,0,1,6,0,0.04,0,0,0,0,0,30,12.6,0.048,0.043,1.528,0.383,0.211,38,0,14.4,0,0.022,18.98
"Potatoes, red, flesh and skin, baked",2.3,0.15,19.59,89,0.45,0.55,0.44,0,0,1.43,0,1.8,9,0.7,28,72,545,12,0.4,0.174,0.173,0,10,0,1,6,0,0.08,0,0,0,0,0,27,12.6,0.072,0.05,1.595,0.341,0.212,27,0,18.9,0,0.026,17.79
"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",2.34,4.99,23.96,150,0.14,0.07,0,0,0,0.21,0,2,13,0.62,21,81,380,349,0.34,0.077,0.157,0.5,4,0,0,2,0,0.1,0,0,0,0,0,13,7.7,0.106,0.037,2.14,0.448,0.196,31,0,19.2,0,1.249,21.96
"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",2.51,5.13,27.5,166,0.17,0.12,0,0,0,0.29,0,2.3,13,0.75,28,97,471,391,0.4,0.145,0.219,0.1,4,0,0,3,0,0.1,0,0,0,0,0,15,11.8,0.122,0.031,2.135,0.491,0.172,22,0,0,0,1.082,25.2
"Potatoes, roasted, salt added in processing, frozen, unprepared",2.22,1.81,26.15,130,0,0,0,0,0,0.69,0,2.6,15,0.5,0,0,450,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0.167,23.55
"Potatoes, raw, skin",2.57,0.1,12.44,58,0,0,0,0,0,0,0,2.5,30,3.24,23,38,413,10,0.35,0.423,0.602,0.3,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0.021,0.038,1.033,0.302,0.239,17,0,0,0,0.026,9.94
"Potatoes, baked, flesh, without salt",1.96,0.1,21.55,93,0,0,0,0,0,1.7,0,1.5,5,0.35,25,50,391,5,0.29,0.215,0.161,0.3,0,0,0,0,0,0.04,0,0,0,0,0,0,12.8,0.105,0.021,1.395,0.555,0.301,9,0,14.5,0,0.026,20.05
"Potatoes, baked, skin, without salt",4.29,0.1,46.06,198,0,0,0,0,0,1.4,0,7.9,34,7.04,43,101,573,21,0.49,0.817,0.616,0.7,10,0,1,6,0,0.04,0,0,0,0,0,30,13.5,0.122,0.106,3.065,0.857,0.614,22,0,31,0,0.026,38.16
"Potatoes, boiled, cooked in skin, flesh, without salt",1.87,0.1,20.13,87,0.19,0.34,0.29,0,0,0.91,0,1.8,5,0.31,22,44,379,4,0.3,0.188,0.138,0.3,3,0,0,2,0,0.01,0,0,0,0,0,10,13,0.106,0.02,1.439,0.52,0.299,10,0,13.5,0,0.026,18.33
"Potatoes, boiled, cooked in skin, skin, without salt",2.86,0.1,17.21,78,0,0,0,0,0,0,0,3.3,45,6.07,30,54,407,14,0.44,0.878,1.338,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0.032,0.036,1.222,0.361,0.239,10,0,0,0,0.026,13.91
"Potatoes, boiled, cooked without skin, flesh, without salt",1.71,0.1,20.01,86,0.18,0.33,0.28,0,0,0.89,0,1.8,8,0.31,20,40,328,5,0.27,0.167,0.14,0.3,2,0,0,1,0,0.01,0,0,0,0,0,9,7.4,0.098,0.019,1.312,0.509,0.269,9,0,13.2,0,0.026,18.21
"Potatoes, microwaved, cooked in skin, flesh, without salt",2.1,0.1,23.28,100,0,0,0,0,0,0,0,1.6,5,0.41,25,109,411,7,0.33,0.237,0.17,0.4,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0.129,0.025,1.625,0.597,0.319,12,0,0,0,0.026,21.68
"Potatoes, microwaved, cooked in skin, skin, without salt",4.39,0.1,29.63,132,0,0,0,0,0,0,0,5.5,46,5.94,37,82,650,16,0.51,0.882,0.98,0.5,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0.071,0.075,2.22,0.594,0.492,17,0,0,0,0.026,24.13
"Potatoes, hash brown, home-prepared",3,12.52,35.11,265,0.33,0.64,0.52,0,0,1.49,0,3.2,14,0.55,35,70,576,342,0.47,0.293,0.247,0.5,5,0,0,3,0,0.01,0,0,0,0,0,16,13,0.172,0.033,2.302,0.893,0.472,16,0,23.2,0,1.883,31.91
"Potatoes, mashed, home-prepared, whole milk and margarine added",1.96,4.2,16.94,113,0.16,0.3,0.24,0.71,0,1.41,0,1.5,21,0.26,19,48,326,333,0.3,0.155,0.113,0.8,187,41,44,30,0,0.42,0.2,0,0.2,0,0,7,10.5,0.092,0.042,1.174,0.476,0.247,9,0.07,13.5,1,0.745,15.44
"Potatoes, scalloped, home-prepared with butter",2.87,3.68,10.78,88,0,0,0,0,0,0,0,1.9,57,0.57,19,63,378,335,0.4,0.163,0.166,1.6,135,0,0,0,0,0,0,0,0,0,0,0,10.6,0.069,0.092,1.053,0.514,0.178,11,0,0,12,2.255,8.88
"Potatoes, au gratin, home-prepared from recipe using butter",5.06,7.59,11.27,132,0,0,0,0,0,0,0,1.8,119,0.64,20,113,396,433,0.69,0.16,0.161,2.7,264,61,64,0,0,0,0,0,0,0,0,0,9.9,0.064,0.116,0.993,0.387,0.174,11,0,0,23,4.733,9.47
"Potatoes, canned, solids and liquids",1.2,0.11,9.89,44,0,0,0,0,0,0,0,1.4,39,0.72,14,22,205,217,0.39,0.07,0.071,0.7,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0.034,0.02,0.889,0.174,0.137,5,0,0,0,0.029,8.49
"Potatoes, canned, drained solids",1.41,0.21,13.61,60,0,0,0,0,0,0,0,2.3,5,1.26,14,28,229,219,0.28,0.057,0.097,0.9,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0.068,0.013,0.915,0.354,0.188,6,0,0,0,0.054,11.31
"Potatoes, mashed, dehydrated, flakes without milk, dry form",8.34,0.41,81.17,354,0.99,0.89,0.98,0,0.5,3.36,0,6.6,27,1.21,66,156,1098,77,0.7,0.161,0.161,13.4,11,0,1,6,0,0.03,0,0,0,0,0,37,81,0.988,0.11,6.264,2.079,0.748,46,0,54.9,0,0.169,74.57
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",1.77,5.13,10.87,97,0.12,0.11,0.12,1.16,0.06,1.61,0,0.8,32,0.16,11,39,164,164,0.18,0.031,0.021,2.5,172,46,47,11,0,0.14,0.3,0,0.3,0,0,4,9.7,0.13,0.054,0.776,0.342,0.098,7,0.11,10.9,14,3.191,10.07
"Potatoes, mashed, dehydrated, granules without milk, dry form",8.22,0.54,85.51,372,1.02,0.92,1.01,0,0.52,3.47,0,7.1,41,1.09,98,245,703,67,0.91,0.102,1.121,27.1,11,0,1,7,0,0.27,0,0,0,0,0,38,37,0.453,0.253,4.765,0.345,0.861,40,0,56.6,0,0.138,78.41
"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",2.05,4.96,14.36,108,0,0,0,0,0,0,0,2.2,35,0.19,19,60,144,257,0.25,0.022,0.003,1.3,183,40,43,30,0,0,0,0,0,0,0,0,6,0.079,0.077,0.764,0.128,0.009,8,0,0,14,3.056,12.16
"Potatoes, mashed, dehydrated, granules with milk, dry form",10.9,1.1,77.7,357,0,0,0,0,0,3.37,0,6.6,142,3.5,74,237,1848,82,1.2,0.578,0.488,26.3,75,17,18,10,0,0.03,0,0,0,0,0,37,16,0.19,0.3,4.2,1.864,0.887,30,0,55,2,0.461,71.1
"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",2.13,4.8,16.13,116,0.18,0.16,0.18,1.09,0.09,1.74,0,1.3,35,0.2,20,62,155,172,0.24,0.029,0.199,5.6,214,48,51,33,0,0.51,0.3,0,0.3,0,0,7,6.5,0.09,0.083,0.86,0.145,0.16,8,0.1,13.7,2,0.955,14.83
"Potatoes, au gratin, dry mix, unprepared",8.9,3.7,74.31,314,0,0,0,0,0,0,0,4.1,311,1.63,64,404,990,2095,0.9,0.24,0.59,10,263,49,54,60,0,0,0,0,0,0,0,0,15.5,0.07,0.253,4.063,0.92,0.15,40,0,0,0,2.323,70.21
"Potatoes, au gratin, dry mix, prepared with water, whole milk and butter",2.3,4.12,12.84,93,0,0,0,0,0,0,0,0.9,83,0.32,15,95,219,439,0.24,0.046,0.13,2.7,213,49,52,0,0,0,0,0,0,0,0,0,3.1,0.02,0.081,0.939,0.239,0.04,7,0,0,15,2.586,11.94
"Potatoes, scalloped, dry mix, unprepared",7.77,4.59,73.93,358,0,0,0,0,0,0,0,8.6,62,2.01,59,197,905,1578,0.92,0.26,0.622,7.9,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0.06,0.123,4.533,1.4,0.18,32,0,0,5,1.2,65.33
"Potatoes, scalloped, dry mix, prepared with water, whole milk and butter",2.12,4.3,12.77,93,0,0,0,0,0,0,0,1.1,36,0.38,14,56,203,341,0.25,0.049,0.181,1.6,148,33,35,0,0,0,0,0,0,0,0,0,3.3,0.019,0.056,1.029,0.327,0.042,10,0,0,11,2.633,11.67
"Potatoes, hash brown, frozen, plain, unprepared",2.06,0.62,17.72,82,0,0,0,0,0,0,0,1.4,10,0.98,11,47,285,22,0.21,0.099,0.146,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0.097,0.014,1.664,0.323,0.087,4,0,0,0,0.163,16.32
"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",2.65,11.59,28.51,219,0,0.26,0,0,0,0.27,0,3.2,17,0.54,28,79,496,15,0.38,0.115,0.184,0.5,0,0,0,0,0,2.19,0,0,0,0,0,0,6.7,0.134,0.033,2.314,0.574,0.236,16,0,23.2,0,0.934,25.31
"Potatoes, hash brown, frozen, with butter sauce, unprepared",1.87,6.66,18.28,135,0,0,0,0,0,0,0,2.9,25,0.75,11,29,248,77,0.25,0.077,0.185,0.3,84,18,19,0,0,0,0,0,0,0,0,0,5.7,0.053,0.025,1.133,0.309,0.212,12,0,0,0,2.556,15.38
"Potatoes, hash brown, frozen, with butter sauce, prepared",2.46,8.79,24.13,178,0,0,0,0,0,0,0,3.8,33,0.99,15,38,327,101,0.33,0.102,0.244,0.3,111,24,26,0,0,0,0,0,0,0,0,0,3.8,0.052,0.031,1.421,0.367,0.266,13,0,0,23,3.373,20.33
"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",2.16,6.24,25.59,167,0.07,0.12,0,0,0,0.2,0,2.3,11,0.72,21,90,379,323,0.36,0.11,0.155,0.5,4,0,0,2,0,0.12,0,0,0,0,0,14,12.3,0.09,0.034,1.97,0.498,0.17,36,0,20.8,0,1.371,23.29
"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",2.9,6.76,31.66,199,0.21,0.1,0,0,0,0.31,0,2.8,12,0.8,25,112,505,400,0.43,0.114,0.187,0.6,5,0,0,3,0,0.16,0,0,0,0,0,17,14.2,0.129,0.034,2.28,0.554,0.192,33,0,0,0,1.267,28.86
"Potatoes, o'brien, frozen, unprepared",1.83,0.14,17.47,76,0,0,0,0,0,0,0,1.9,13,1.03,18,49,249,33,0.29,0.127,0.119,1.2,148,0,7,0,0,0,0,0,0,0,0,0,11.3,0.054,0.045,1.129,0.428,0.209,8,0,0,0,0.032,15.57
"Potatoes, o'brien, frozen, prepared",2.22,13.21,21.86,204,0,0,0,0,0,0,0,1.7,20,0.96,34,93,473,43,0.55,0.241,0.226,1.2,188,0,9,0,0,0,0,0,0,0,0,0,10.4,0.052,0.135,1.448,0.732,0.377,12,0,0,0,3.313,20.16
"Potato puffs, frozen, unprepared",1.93,8.71,24.8,178,0.13,0.16,0,0,0,0.28,0,2.3,13,0.47,16,64,247,428,0.26,0.075,0.111,0.3,4,0,0,3,0,0.11,0,0,0,0,0,15,6.9,0.184,0.061,1.815,0.583,0.194,17,0,24.9,0,1.418,22.5
"Potato puffs, frozen, oven-heated",2.13,9.05,27.29,192,0.08,0.19,0,0,0,0.27,0,2,14,0.58,17,84,287,463,0.3,0.079,0.127,0.4,5,0,0,3,0,0.26,0,0,0,0,0,16,4,0.069,0.037,1.449,0.32,0.121,23,0,25.4,0,1.657,25.29
"Potatoes, frozen, whole, unprepared",2.38,0.16,17.47,78,0,0,0,0,0,0.78,0,1.2,8,1.01,13,32,346,25,0.3,0.094,0.223,0.3,2,0,0,1,0,0.01,0,0,0,0,0,8,14.2,0.154,0.031,1.68,0.374,0.256,13,0,12.2,0,0.041,16.27
"Potatoes, frozen, whole, cooked, boiled, drained, without salt",1.98,0.13,14.52,65,0,0,0,0,0,0,0,1.4,7,0.84,11,26,287,20,0.25,0.078,0.185,0.2,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0.102,0.025,1.326,0.28,0.202,8,0,0,0,0.034,13.12
"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",2.24,4.66,24.81,147,0.1,0.1,0,0,0,0.2,0,1.9,9,0.62,21,83,408,332,0.35,0.093,0.158,0,4,0,0,2,0,0.1,0,0,0,0,0,13,17.3,0.098,0.048,2.038,0.473,0.178,35,0,22.3,0,1.005,22.91
"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",2.75,5.48,25.55,158,0.18,0.18,0,0,0,0.37,0,2,12,0.57,24,87,478,324,0.35,0.104,0.154,0.4,5,0,0,3,0,0.39,0,0,0,0,0,16,8.6,0.13,0.032,2.077,0.463,0.261,23,0,23.7,0,0.848,23.55
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",2.42,5.78,23.98,153,0,0,0,0,0,0,0,3,7,1.05,16,46,338,32,0.29,0.141,0.214,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0.099,0.023,1.789,0.54,0.18,15,0,0,0,2.743,20.98
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",3.44,8.2,34.03,218,0,0,0,0,0,0,0,3.2,10,1.49,22,65,480,45,0.41,0.2,0.304,0.4,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0.119,0.031,2.413,0.69,0.243,17,0,0,0,3.894,30.83
"Potatoes, frozen, french fried, par fried, extruded, unprepared",2.83,14.95,30.15,260,0,0,0,0,0,0,0,2.9,9,1.32,18,77,430,490,0.33,0.032,0.227,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0.074,0.031,2.241,0.54,0.18,22,0,0,0,4.544,27.25
"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",3.55,18.71,39.68,333,0,0,0,0,0,0,0,3.2,12,1.66,23,96,539,613,0.41,0.04,0.285,0.6,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0.08,0.037,2.665,0.608,0.213,22,0,0,0,5.96,36.48
"USDA Commodity, Potato wedges, frozen",2.7,2.2,25.5,123,0,0,0,0,0,0.3,0,2,15,0.7,19,87,394,49,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0.1,0.04,1.54,0,0.35,0,0,0,0,0.55,23.5
"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",2.19,3.39,23.51,133,0.1,0.1,0,0,0,0.2,0,1.9,9,0.65,21,78,400,317,0.36,0.092,0.161,0.4,4,0,0,2,0,0.08,0,0,0,0,0,12,18.4,0.098,0.072,2.005,0.473,0.168,38,0,0,0,0.688,21.61
"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",2.57,3.76,26.98,152,0.15,0.1,0,0,0,0.25,0,2.6,10,0.64,23,90,459,373,0.41,0.095,0.189,0,0,0,0,0,0,0.08,0,0,0,0,0,0,14,0.132,0.029,2.24,0.522,0.192,31,0,0,0,0.737,24.38
Potato flour,6.9,0.34,83.1,357,0,0,0,0,0,3.52,0,5.9,65,1.38,65,168,1001,55,0.54,0.197,0.313,1.1,0,0,0,0,0,0.25,0,0,0,0,0,0,3.8,0.228,0.051,3.507,0.474,0.769,25,0,39.5,0,0.09,77.2
"Potato salad, home-prepared",2.68,8.2,11.17,143,0,0,0,0,0,0,0,1.3,19,0.65,15,52,254,529,0.31,0.118,0.101,4.1,157,29,32,36,0,0,0,0,0,0,0,0,10,0.077,0.06,0.89,0.534,0.141,7,0,0,68,1.429,9.87
"Pumpkin flowers, raw",1.03,0.07,3.28,15,0,0,0,0,0,0,0,0,39,0.7,24,49,173,5,0,0,0,0.7,1947,0,97,0,0,0,0,0,0,0,0,0,28,0.042,0.075,0.69,0,0,59,0,0,0,0.036,3.28
"Pumpkin flowers, cooked, boiled, drained, without salt",1.09,0.08,3.3,15,0,0,0,0,0,2.4,0,0.9,37,0.88,25,34,106,6,0.1,0.1,0,0.7,1734,0,87,1040,0,0.04,0,0,0,0,0,0,5,0.018,0.032,0.31,0,0.05,41,0,13.4,0,0.041,2.4
"Pumpkin leaves, raw",3.15,0.4,2.33,19,0,0,0,0,0,0,0,0,39,2.22,38,104,436,11,0.2,0.133,0.355,0.9,1942,0,97,0,0,0,0,0,0,0,0,0,11,0.094,0.128,0.92,0.042,0.207,36,0,0,0,0.207,2.33
"Pumpkin leaves, cooked, boiled, drained, without salt",2.72,0.22,3.39,21,0,0,0,0,0,0.69,0,2.7,43,3.2,38,79,438,8,0.2,0.133,0.355,0.9,1600,0,80,960,0,0.96,0,0,0,0,0,1747,1,0.068,0.136,0.85,0.042,0.196,25,0,21,0,0.114,0.69
"Pumpkin, raw",1,0.1,6.5,26,0,0,0,0,0,2.76,0,0.5,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,8513,0,426,3100,4016,1.06,0,0,0,0,0,1500,9,0.05,0.11,0.6,0.298,0.061,16,0,8.2,0,0.052,6
"Pumpkin, cooked, boiled, drained, without salt",0.72,0.07,4.9,20,0,0,0,0,0,2.08,0,1.1,15,0.57,9,30,230,1,0.23,0.091,0.089,0.2,5755,0,288,2096,2715,0.8,0,0,0,0,0,1014,4.7,0.031,0.078,0.413,0.201,0.044,9,0,6.2,0,0.037,3.8
"Pumpkin, canned, without salt",1.1,0.28,8.09,34,0,0,0,0,0,3.3,0,2.9,26,1.39,23,35,206,5,0.17,0.107,0.149,0.4,15563,0,778,6940,4795,1.06,0,0,0,0,0,0,4.2,0.024,0.054,0.367,0.4,0.056,12,0,9.8,0,0.146,5.19
"Pumpkin pie mix, canned",1.09,0.13,26.39,104,0,0,0,0,0,0,0,8.3,37,1.06,16,45,138,208,0.27,0.068,0.401,1.1,8298,0,415,0,0,0,0,0,0,0,0,0,3.5,0.016,0.118,0.374,1.137,0.159,35,0,0,0,0.065,18.09
"Purslane, raw",2.03,0.36,3.39,20,0,0,0,0,0,0,0,0,65,1.99,68,44,494,45,0.17,0.113,0.303,0.9,1320,0,0,0,0,0,0,0,0,0,0,0,21,0.047,0.112,0.48,0.036,0.073,12,0,12.8,0,0,3.39
"Purslane, cooked, boiled, drained, without salt",1.49,0.19,3.55,18,0,0,0,0,0,0,0,0,78,0.77,67,37,488,44,0.17,0.114,0.307,0.9,1852,0,93,0,0,0,0,0,0,0,0,0,10.5,0.031,0.09,0.46,0.036,0.07,9,0,0,0,0,3.55
"Radishes, raw",0.68,0.1,3.4,16,0.1,1.05,0.71,0,0,1.86,0,1.6,25,0.34,10,20,233,39,0.28,0.05,0.069,0.6,7,0,0,4,0,0,0,0,0,0,0,10,14.8,0.012,0.039,0.254,0.165,0.071,25,0,6.5,0,0.032,1.8
